     +8400, -4050     + 600, - 500     + 600, -1550     + 600, -1550
     + 550, - 500     + 600, -1550     + 600, - 500     + 600, -1550
     + 600, - 500     + 550, -1550     + 600, - 500     + 600, -1550
     + 600, - 500     + 550, -1600     + 550, -1550     + 600, -1550
     + 600, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 600, - 450     + 600, - 500
     + 600, - 500     + 550, -1600     + 550, -1550     + 600, - 500
     + 600, - 500     + 550, -1600     + 550, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 600, -1550     + 600, - 500
     + 550, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 600, - 450
     + 600, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 600, - 500
     + 550, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 600, - 500     + 550, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 600, - 500     + 550, - 500     + 600, - 500
     + 600, - 450     + 600, - 500     + 600, - 500     + 550, - 500
     + 600, - 500     + 600, - 450     + 600, - 500     + 600, - 500
     + 550, - 500     + 600, -1550     + 600, - 500     + 550, -1600
     + 550, -1600     + 550, -1550     + 600, - 500     + 600, - 500
     + 550, - 500     + 600
